Symbol,Date,Open,High,Low,Close,Volume
AAAP,10-Nov-2017,80.94,81.1,80.94,80.98,322400
AABA,10-Nov-2017,70.6,70.745,69.94,70.55,4439900
AAL,10-Nov-2017,45.64,46.12,45.56,45.82,2433000
AAME,10-Nov-2017,3.65,3.65,3.5,3.5,1600
AAOI,10-Nov-2017,42.67,46.07,42.55,45.3,2969900
AAON,10-Nov-2017,33.25,34.15,33.25,33.8,134500
AAPL,10-Nov-2017,175.11,175.38,174.27,174.67,25145500
AAWW,10-Nov-2017,54.55,54.625,52.6,53.85,561400
AAXJ,10-Nov-2017,76.11,76.15,75.87,76.08,619600
AAXN,10-Nov-2017,21.43,21.46,21.15,21.16,623500
ABAC,10-Nov-2017,3.63,3.65,3.34,3.48,14700
ABAX,10-Nov-2017,46.11,46.69,45.29,46.46,146900
ABCB,10-Nov-2017,45.75,46.3,45.55,45.8,110300
ABCD,10-Nov-2017,6.24,7,6.12,6.81,148400
ABCO,10-Nov-2017,53.4,53.525,53.225,53.4,4990200
ABDC,10-Nov-2017,7.21,7.58,7.21,7.35,146400
ABEO,10-Nov-2017,14.85,15.4,14.7,15.25,631700
ABEOW,10-Nov-2017,10.225,10.4,10.225,10.4,700
ABIL,10-Nov-2017,0.61,0.67,0.58,0.65,2370600
ABIO,10-Nov-2017,1.15,1.2,1.15,1.15,18800
ABLX,10-Nov-2017,20.94,21.11,20.82,20.87,176500
ABMD,10-Nov-2017,195.53,196.2,193.59,195.21,176400
ABTX,10-Nov-2017,36.8,38.05,36.8,37.25,23800
ABUS,10-Nov-2017,5.85,6.15,5.8,6.15,99700
ABY,10-Nov-2017,23.24,23.53,23.23,23.48,290100
ACAD,10-Nov-2017,29.2,29.88,28.55,28.6,1805900
ACBI,10-Nov-2017,16.2,16.7,16.2,16.475,99600
ACER,10-Nov-2017,17.495,18.373,17.31,17.51,4400
ACERW,10-Nov-2017,0.04,0.05,0.03,0.03,198400
ACET,10-Nov-2017,9,9.14,8.9,9.02,549900
ACFC,10-Nov-2017,8.55,8.89,8.52,8.66,16600
ACGL,10-Nov-2017,95.89,95.99,94.39,95.35,452800
ACGLO,10-Nov-2017,25.38,25.38,25.23,25.26,17800
ACGLP,10-Nov-2017,24.8,24.83,24.72,24.8,43500
ACHC,10-Nov-2017,28.6,28.98,27.88,28.23,1420300
ACHN,10-Nov-2017,3.83,3.94,3.83,3.89,502100
ACHV,10-Nov-2017,1.43,1.52,1.37,1.38,41800
ACIA,10-Nov-2017,35.75,36.56,35.72,36.11,430400
ACIU,10-Nov-2017,11.65,12.06,11.52,11.6,50900
ACIW,10-Nov-2017,23,23.46,22.95,23.33,343400
ACLS,10-Nov-2017,33.65,34.06,33.35,33.8,343400
ACMR,10-Nov-2017,5.65,5.76,5.61,5.72,9800
ACNB,10-Nov-2017,27.52,28.15,27.5,27.85,9900
ACOR,10-Nov-2017,28.25,28.6,27.45,27.95,452000
ACRS,10-Nov-2017,21.98,23.27,21.78,23.23,133800
ACRX,10-Nov-2017,1.9,2,1.85,1.975,949900
ACSF,10-Nov-2017,10.7,10.7,10.6,10.6,57000
ACST,10-Nov-2017,1.3,1.32,1.26,1.31,15100
ACTA,10-Nov-2017,15.65,15.65,15.45,15.55,131200
ACTG,10-Nov-2017,4.05,4.05,3.95,4,287100
ACWI,10-Nov-2017,70.37,70.43,70.265,70.38,551200
ACWX,10-Nov-2017,49.24,49.26,49.11,49.18,161800
ACXM,10-Nov-2017,26.21,26.54,26.16,26.42,651200
ADAP,10-Nov-2017,8.15,8.35,7.93,8.1,148300
ADBE,10-Nov-2017,181,182.06,179.83,181.72,2082600
ADES,10-Nov-2017,11.3,11.65,11.22,11.56,109900
ADHD,10-Nov-2017,1.34,1.42,1.3,1.39,530000
ADI,10-Nov-2017,89.54,90.03,88.88,89.59,2736300
ADMA,10-Nov-2017,2.29,2.38,2.1,2.32,341800
ADMP,10-Nov-2017,4.85,4.95,4.6,4.75,651300
ADMS,10-Nov-2017,27.5,27.91,26.9,27.75,484800
ADOM,10-Nov-2017,4.4,4.4,3.96,4.12,66400
ADP,10-Nov-2017,111.71,112.13,110.95,111.09,2107800
ADRA,10-Nov-2017,34.31,34.31,34.31,34.31,100
ADRD,10-Nov-2017,22.75,23.02,22.75,22.96,2300
ADRE,10-Nov-2017,43.09,43.09,42.9,43.05,3300
ADRO,10-Nov-2017,7.9,8.15,7.75,7.95,558200
ADRU,10-Nov-2017,22.23,22.26,22.23,22.26,3200
ADSK,10-Nov-2017,121.95,123.32,121.31,123.11,929400
ADTN,10-Nov-2017,20.5,20.8,20.5,20.65,145000
ADUS,10-Nov-2017,32.4,32.95,32.02,32.55,11300
ADVM,10-Nov-2017,2.9,3,2.85,2.85,348600
ADXS,10-Nov-2017,3.13,3.43,3.13,3.39,552100
ADXSW,10-Nov-2017,1.2,1.25,1.2,1.25,13300
AEGN,10-Nov-2017,27.05,27.29,26.73,26.89,208400
AEHR,10-Nov-2017,3.13,3.18,3.11,3.12,43300
AEIS,10-Nov-2017,83.46,85.93,83,83.66,291600
AEMD,10-Nov-2017,0.88,0.94,0.85,0.89,225800
