Symbol,Date,Open,High,Low,Close,Volume
A,10-Nov-2017,67.35,67.58,66.7,66.81,1704500
AA,10-Nov-2017,42.93,44.46,42.75,43.01,4465300
AAC,10-Nov-2017,10.9,11.4,10.735,11.28,143900
AAN,10-Nov-2017,37.6,38.06,36.26,36.59,1214900
AAP,10-Nov-2017,80.16,81.99,80,81.22,1942300
AAT,10-Nov-2017,39.21,39.56,39,39.33,259500
AAV,10-Nov-2017,5.75,5.9,5.7,5.9,155100
AB,10-Nov-2017,24.95,25.2,24.7,25.05,154200
ABB,10-Nov-2017,25.46,25.475,25.27,25.36,1269800
ABBV,10-Nov-2017,95.35,95.94,93.56,95.43,6170100
ABC,10-Nov-2017,75.05,76.68,74.05,75,3005700
ABEV,10-Nov-2017,6.11,6.15,6.07,6.12,20086700
ABG,10-Nov-2017,60.6,62.35,60.6,61.95,345200
ABM,10-Nov-2017,39.86,40.31,39.76,40.26,173200
ABR,10-Nov-2017,8.45,8.59,8.43,8.49,620100
ABR-A,10-Nov-2017,25.7,25.73,25.7,25.73,1000
ABR-B,10-Nov-2017,25.545,25.68,25.545,25.68,200
ABR-C,10-Nov-2017,26.43,26.55,26.43,26.55,300
ABRN,10-Nov-2017,25.32,25.42,25.32,25.4,6700
ABT,10-Nov-2017,55.23,55.32,54.37,54.8,5033100
ABX,10-Nov-2017,14.1,14.14,13.9,13.98,7187400
AC,10-Nov-2017,33.63,34.5,33.63,34.25,7500
ACC,10-Nov-2017,41.61,42.11,41.49,41.8,583300
ACCO,10-Nov-2017,12.75,13.05,12.75,12.85,611000
ACH,10-Nov-2017,18.63,18.72,18.45,18.7,49800
ACM,10-Nov-2017,35.51,35.7,35.34,35.59,1235200
ACN,10-Nov-2017,143.52,144.07,142.695,143.89,922400
ACP,10-Nov-2017,13.9,13.96,13.84,13.96,111000
ACRE,10-Nov-2017,12.98,13.13,12.96,13,112400
ACV,10-Nov-2017,22,22.17,21.88,21.97,28800
ADC,10-Nov-2017,48.66,49.27,48.66,48.67,164300
ADM,10-Nov-2017,39.49,39.96,39.45,39.93,2591300
ADNT,10-Nov-2017,76.59,78.86,76.24,77.42,496700
ADS,10-Nov-2017,227.68,228.91,224.62,225.45,342900
ADSW,10-Nov-2017,22.65,22.84,22.23,22.82,256000
ADX,10-Nov-2017,15.7,15.79,15.68,15.73,335000
AEB,10-Nov-2017,24.47,24.58,24.41,24.5,29300
AED,10-Nov-2017,26,26.03,25.94,25.94,8300
AEE,10-Nov-2017,62.46,62.77,62.17,62.48,1239700
AEG,10-Nov-2017,6.09,6.12,6.04,6.07,2785000
AEH,10-Nov-2017,25.88,25.91,25.86,25.9,26200
AEK,10-Nov-2017,26.41,26.41,26.31,26.32,13500
AEL,10-Nov-2017,28.5,28.57,28.24,28.5,523200
AEM,10-Nov-2017,45.27,45.34,44.78,45,1080100
AEO,10-Nov-2017,13.67,14.15,13.62,13.98,4832700
AEP,10-Nov-2017,74.98,75.12,74.64,74.78,2133700
AER,10-Nov-2017,51.99,52.2,51.51,51.67,1033800
AES,10-Nov-2017,10.25,10.29,10,10.23,26490400
AET,10-Nov-2017,172.59,175.585,171.38,175.12,2240900
AEUA,10-Nov-2017,36.5,36.73,35.76,35.91,44700
AFB,10-Nov-2017,13.54,13.6,13.5,13.55,94900
AFC,10-Nov-2017,25.68,25.68,25.625,25.625,2700
AFG,10-Nov-2017,104.91,105.93,104.81,105.63,256300
AFGE,10-Nov-2017,26.09,26.18,26.06,26.06,10500
AFGH,10-Nov-2017,26.61,26.61,26.22,26.5,12600
AFI,10-Nov-2017,15.87,16.06,15.77,15.82,64700
AFL,10-Nov-2017,83.94,84.01,83,83.44,1181700
AFS-A,10-Nov-2017,22.85,23.44,22.82,23.14,5900
AFS-B,10-Nov-2017,24.74,24.87,24.64,24.79,11900
AFS-C,10-Nov-2017,24.27,24.39,24.1,24.2,27100
AFS-D,10-Nov-2017,24.05,24.22,24.04,24.05,52400
AFS-E,10-Nov-2017,24.59,24.76,24.58,24.63,12100
AFS-F,10-Nov-2017,22.41,22.44,22.2,22.27,38800
AFSD,10-Nov-2017,25.22,25.23,25.22,25.23,7600
AFSS,10-Nov-2017,25.1,25.58,25.08,25.36,7500
AFST,10-Nov-2017,25.85,26.48,25.74,26.01,12900
AFT,10-Nov-2017,16.29,16.33,16.22,16.27,79600
AG,10-Nov-2017,6.8,6.8,6.615,6.63,3006000
AGC,10-Nov-2017,6.01,6.05,5.99,6.03,131100
AGCO,10-Nov-2017,67.52,68.01,67.28,67.97,456700
AGD,10-Nov-2017,10.45,10.5,10.45,10.46,50000
AGI,10-Nov-2017,6.31,6.36,6.23,6.26,1018900
AGM,10-Nov-2017,67.06,68.715,65.82,67.77,52800
AGM-B,10-Nov-2017,26.61,26.61,26.61,26.61,100
AGM.A,10-Nov-2017,68,68,66.62,66.62,1400
AGN,10-Nov-2017,172.39,173.54,170.79,172.21,3251700
AGN-A,10-Nov-2017,627.32,628.54,622.19,625.2,189300
AGO,10-Nov-2017,36.79,37.18,36.6,37.12,562000
AGO-B,10-Nov-2017,26.065,26.065,26.02,26.02,300
AGO-E,10-Nov-2017,26.55,26.62,26.49,26.61,9900
AGO-F,10-Nov-2017,25.26,25.27,25.2,25.27,1900
AGR,10-Nov-2017,50.67,50.84,50.3,50.56,611700
AGRO,10-Nov-2017,9.32,9.465,9.27,9.34,1020000
AGU,10-Nov-2017,106.69,108.1,106.69,106.87,275100
AGX,10-Nov-2017,67,67.61,66.7,66.8,87300
AHC,10-Nov-2017,4.79,4.9,4.73,4.9,62300
AHH,10-Nov-2017,15.03,15.16,14.93,14.97,305900
AHL,10-Nov-2017,41.85,42.35,41.3,42.15,420100
AHL-C,10-Nov-2017,26.82,26.89,26.74,26.84,26500
AHL-D,10-Nov-2017,25.38,25.38,25.31,25.38,12800
AHP,10-Nov-2017,9.18,9.38,9.17,9.26,241000
AHP-B,10-Nov-2017,21.18,21.3,20.82,20.83,6400
AHT,10-Nov-2017,6.31,6.41,6.3,6.31,234300
AHT-D,10-Nov-2017,25.42,25.51,25.4,25.51,89300
AHT-F,10-Nov-2017,25.04,25.06,25,25.04,5700
AHT-G,10-Nov-2017,24.88,25.05,24.7,24.71,54800
AHT-H,10-Nov-2017,24.96,25.055,24.93,24.93,37200
AI,10-Nov-2017,11.14,11.245,11.09,11.14,374500
AI-B,10-Nov-2017,24.8,25,24.61,24.82,2900
AIC,10-Nov-2017,24.3,24.385,24.3,24.36,1500
AIF,10-Nov-2017,15.94,15.965,15.74,15.86,72000
AIG,10-Nov-2017,62.08,62.33,61.91,62.06,4422200
AIG.W,10-Nov-2017,20.2,20.25,19.95,20,1522600
AIN,10-Nov-2017,58.5,59.05,58.35,58.55,71900
AIR,10-Nov-2017,40.26,40.42,39.88,40.11,170000
AIT,10-Nov-2017,60.95,62.05,60.5,61.6,177700
AIV,10-Nov-2017,44.94,45.41,44.87,45.13,764800
AIV-A,10-Nov-2017,26.95,26.95,26.81,26.81,400
AIY,10-Nov-2017,25.78,25.82,25.74,25.78,9000
AIZ,10-Nov-2017,98.43,99.02,97.75,98.15,451900
AJG,10-Nov-2017,63.66,64.2,63.36,64.08,590600
AJRD,10-Nov-2017,29.75,29.81,29.06,29.09,570000
AJX,10-Nov-2017,14.55,14.69,14.55,14.64,79300
AJXA,10-Nov-2017,25.9,26.05,25.89,25.94,1700
AKO.A,10-Nov-2017,26.465,26.465,26.465,26.465,100
AKO.B,10-Nov-2017,29.38,29.38,28.86,29.22,4900
AKP,10-Nov-2017,13.83,13.83,13.66,13.7,76500
